,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bin,Total_Space_New
7475,West Footscray,3,h,Jas,2017-12-09,6.4,3012.0,3,1,2,537.0,Western Metropolitan,5058,1062000,Nearby,9
7476,West Footscray,3,h,Burnham,2017-12-09,6.4,3012.0,3,1,1,463.0,Western Metropolitan,5058,870000,Nearby,8
7477,West Footscray,3,h,hockingstuart,2017-12-09,6.4,3012.0,3,1,2,386.0,Western Metropolitan,5058,940000,Nearby,9
7478,West Footscray,3,h,Jas,2017-12-09,6.4,3012.0,3,1,1,347.0,Western Metropolitan,5058,930000,Nearby,8
7479,West Footscray,3,h,Sweeney,2017-12-09,6.4,3012.0,3,1,3,417.0,Western Metropolitan,5058,857500,Nearby,10
7480,Westmeadows,4,h,YPA,2017-12-09,16.5,3049.0,4,2,2,546.0,Northern Metropolitan,2474,610000,Moderately Close,12
7481,Wheelers Hill,4,h,hockingstuart,2017-12-09,16.7,3150.0,4,2,2,813.0,South-Eastern Metropolitan,7392,1370000,Moderately Close,12
7482,Wheelers Hill,4,h,Barry,2017-12-09,16.7,3150.0,4,2,2,650.0,South-Eastern Metropolitan,7392,1130000,Moderately Close,12
7483,Whittlesea,3,h,Mason,2017-12-09,35.5,3757.0,3,1,2,737.5,Northern Victoria,2170,410000,Far,9
7484,Whittlesea,4,h,HAR,2017-12-09,35.5,3757.0,4,2,2,737.5,Northern Victoria,2170,505000,Far,12
7485,Williamstown,5,h,Williams,2017-12-09,6.8,3016.0,5,3,2,537.0,Western Metropolitan,6380,1630000,Nearby,15
7486,Williamstown,3,h,Sweeney,2017-12-09,6.8,3016.0,3,1,4,537.0,Western Metropolitan,6380,1525000,Nearby,11
7487,Williamstown,3,h,Sweeney,2017-12-09,6.8,3016.0,3,1,0,285.0,Western Metropolitan,6380,1285000,Nearby,7
7488,Williamstown,3,h,Greg,2017-12-09,6.8,3016.0,3,1,2,412.0,Western Metropolitan,6380,2065000,Nearby,9
7489,Williamstown North,5,h,Williams,2017-12-09,6.8,3016.0,5,2,2,466.0,Western Metropolitan,802,1615000,Nearby,14
7490,Windsor,4,u,Buxton,2017-12-09,4.6,3181.0,1,1,1,50.0,Southern Metropolitan,4380,1610000,Nearby,7
7491,Windsor,2,u,Beller,2017-12-09,4.6,3181.0,1,1,1,50.0,Southern Metropolitan,4380,610000,Nearby,5
7492,Wollert,3,h,Iconek,2017-12-09,25.5,3750.0,3,2,3,660.0,Northern Metropolitan,2940,780000,Far,11
7493,Wollert,3,h,Iconek,2017-12-09,25.5,3750.0,3,2,2,383.0,Northern Metropolitan,2940,540000,Far,10
7494,Wollert,3,t,Ray,2017-12-09,25.5,3750.0,3,2,1,145.0,Northern Metropolitan,2940,391000,Far,9
7495,Wollert,3,h,Iconek,2017-12-09,25.5,3750.0,3,2,2,482.0,Northern Metropolitan,2940,581000,Far,10
7496,Wollert,4,h,HAR,2017-12-09,25.5,3750.0,4,2,2,411.0,Northern Metropolitan,2940,615000,Far,12
7497,Wyndham Vale,4,h,YPA,2017-12-09,27.2,3024.0,4,2,2,700.0,Western Metropolitan,5262,632000,Far,12
7498,Wyndham Vale,3,h,YPA,2017-12-09,27.2,3024.0,3,1,1,567.0,Western Metropolitan,5262,425000,Far,8
7499,Wyndham Vale,3,h,hockingstuart,2017-12-09,27.2,3024.0,3,1,1,537.0,Western Metropolitan,5262,400000,Far,8
7500,Wyndham Vale,3,h,hockingstuart,2017-12-09,27.2,3024.0,3,1,1,537.0,Western Metropolitan,5262,420000,Far,8
7501,Wyndham Vale,3,h,LJ,2017-12-09,27.2,3024.0,3,1,2,613.0,Western Metropolitan,5262,415000,Far,9
7502,Wyndham Vale,3,h,hockingstuart,2017-12-09,27.2,3024.0,3,2,2,810.0,Western Metropolitan,5262,600000,Far,10
7503,Yarraville,3,h,Jas,2017-12-09,6.3,3013.0,3,1,1,537.0,Western Metropolitan,6543,1160000,Nearby,8
7504,Yarraville,2,h,Sweeney,2017-12-09,6.3,3013.0,2,1,2,537.0,Western Metropolitan,6543,870000,Nearby,7
7505,Airport West,3,u,Nelson,2017-02-11,13.5,3042.0,3,1,1,265.0,Western Metropolitan,3464,752000,Nearby,8
7506,Altona,3,t,hockingstuart,2017-02-11,13.8,3018.0,3,2,2,197.0,Western Metropolitan,5301,705000,Nearby,10
7507,Altona,2,u,Greg,2017-02-11,13.8,3018.0,2,1,1,50.0,Western Metropolitan,5301,391000,Nearby,6
7508,Altona,2,u,hockingstuart,2017-02-11,13.8,3018.0,2,1,1,50.0,Western Metropolitan,5301,440000,Nearby,6
7509,Altona,4,h,hockingstuart,2017-02-11,13.8,3018.0,4,1,2,745.0,Western Metropolitan,5301,845000,Nearby,11
7510,Ascot Vale,4,h,Nelson,2017-02-11,5.9,3032.0,3,1,1,537.0,Western Metropolitan,6567,1200000,Nearby,9
7511,Ascot Vale,3,h,Nelson,2017-02-11,5.9,3032.0,3,1,1,487.0,Western Metropolitan,6567,1440000,Nearby,8
7512,Avondale Heights,3,h,Biggin,2017-02-11,10.5,3034.0,3,1,1,537.0,Western Metropolitan,4502,825000,Nearby,8
7513,Avondale Heights,2,t,Barry,2017-02-11,10.5,3034.0,2,1,1,136.0,Western Metropolitan,4502,585000,Nearby,6
7514,Bentleigh,3,h,McGrath,2017-02-11,13.0,3204.0,3,2,2,613.0,Southern Metropolitan,6795,1470000,Nearby,10
7515,Bentleigh East,4,t,hockingstuart,2017-02-11,13.9,3165.0,3,2,1,267.0,Southern Metropolitan,10969,850000,Nearby,10
7516,Bentleigh East,4,h,Woodards,2017-02-11,13.9,3165.0,3,1,1,593.0,Southern Metropolitan,10969,1130000,Nearby,9
7517,Brighton,2,u,Greg,2017-02-11,11.2,3186.0,2,2,2,50.0,Southern Metropolitan,10579,1300000,Nearby,8
7518,Brighton East,3,u,Buxton,2017-02-11,10.7,3187.0,3,2,2,304.0,Southern Metropolitan,6938,880000,Nearby,10
7519,Brighton East,4,h,Nick,2017-02-11,10.7,3187.0,4,1,1,1000.0,Southern Metropolitan,6938,1920000,Nearby,10
7520,Brunswick,3,h,Rendina,2017-02-11,5.2,3056.0,3,2,3,177.0,Northern Metropolitan,11918,810000,Nearby,11
7521,Brunswick,2,u,Woodards,2017-02-11,5.2,3056.0,1,1,1,50.0,Northern Metropolitan,11918,764000,Nearby,5
7522,Brunswick,2,h,Nelson,2017-02-11,5.2,3056.0,2,1,1,147.0,Northern Metropolitan,11918,1105000,Nearby,6
7523,Brunswick,2,h,Jellis,2017-02-11,5.2,3056.0,2,1,1,385.0,Northern Metropolitan,11918,1260000,Nearby,6
7524,Brunswick,3,t,Nelson,2017-02-11,5.2,3056.0,3,2,2,327.0,Northern Metropolitan,11918,955000,Nearby,10
7525,Brunswick,1,t,Nelson,2017-02-11,5.2,3056.0,1,1,0,50.0,Northern Metropolitan,11918,895000,Nearby,3
7526,Brunswick West,2,u,Nelson,2017-02-11,5.9,3055.0,2,1,1,50.0,Northern Metropolitan,7082,400500,Nearby,6
7527,Brunswick West,3,t,Nelson,2017-02-11,5.9,3055.0,3,2,2,262.0,Northern Metropolitan,7082,797500,Nearby,10
7528,Bulleen,3,u,Barry,2017-02-11,11.8,3105.0,3,1,2,306.0,Eastern Metropolitan,4480,787000,Nearby,9
7529,Burwood,3,t,Buxton,2017-02-11,11.7,3125.0,3,2,1,267.0,Southern Metropolitan,5678,956000,Nearby,9
7530,Burwood,3,h,Buxton,2017-02-11,11.7,3125.0,3,1,2,706.0,Southern Metropolitan,5678,1468000,Nearby,9
7531,Camberwell,2,u,hockingstuart,2017-02-11,7.8,3124.0,1,1,1,50.0,Southern Metropolitan,8920,752000,Nearby,5
7532,Canterbury,4,h,Marshall,2017-02-11,9.0,3126.0,4,1,1,858.0,Southern Metropolitan,3265,3800000,Nearby,10
7533,Carnegie,2,u,Woodards,2017-02-11,11.4,3163.0,1,1,1,50.0,Southern Metropolitan,7822,576800,Nearby,5
7534,Carnegie,2,u,Ray,2017-02-11,11.4,3163.0,2,1,1,50.0,Southern Metropolitan,7822,465000,Nearby,6
7535,Carnegie,2,u,Ray,2017-02-11,11.4,3163.0,1,1,1,50.0,Southern Metropolitan,7822,757500,Nearby,5
7536,Chadstone,3,t,Ray,2017-02-11,13.6,3148.0,3,2,1,267.0,Southern Metropolitan,3582,999000,Nearby,9
7537,Chadstone,4,t,Buxton,2017-02-11,13.6,3148.0,4,3,2,209.0,Southern Metropolitan,3582,1042500,Nearby,13
7538,Coburg,3,t,JMRE,2017-02-11,7.8,3058.0,2,1,1,145.0,Northern Metropolitan,11204,810000,Nearby,7
7539,Collingwood,2,h,Jellis,2017-02-11,1.6,3066.0,2,2,1,50.0,Northern Metropolitan,4553,1230000,Nearby,7
7540,Doncaster,3,t,Ham,2017-02-11,13.9,3108.0,3,1,1,236.0,Eastern Metropolitan,9028,950000,Nearby,8
7541,Elwood,3,h,Buxton,2017-02-11,7.7,3184.0,3,2,1,116.0,Southern Metropolitan,8989,1238000,Nearby,9
7542,Elwood,2,u,Gary,2017-02-11,7.7,3184.0,2,1,1,626.0,Southern Metropolitan,8989,640000,Nearby,6
7543,Essendon,4,h,Nelson,2017-02-11,8.0,3040.0,4,2,1,554.0,Western Metropolitan,9264,1402000,Nearby,11
7544,Essendon,3,h,Frank,2017-02-11,8.0,3040.0,3,1,2,226.0,Western Metropolitan,9264,897000,Nearby,9
7545,Fairfield,2,u,Jellis,2017-02-11,5.8,3078.0,2,1,1,116.0,Northern Metropolitan,2970,730000,Nearby,6
7546,Footscray,2,h,Burnham,2017-02-11,6.4,3011.0,2,1,2,657.0,Western Metropolitan,7570,950000,Nearby,7
7547,Footscray,3,u,Jellis,2017-02-11,6.4,3011.0,3,2,1,8680.0,Western Metropolitan,7570,674000,Nearby,9
7548,Hadfield,4,h,Brad,2017-02-11,12.1,3046.0,4,2,2,763.0,Northern Metropolitan,2606,918000,Nearby,12
7549,Hampton,4,h,Hodges,2017-02-11,13.7,3188.0,4,2,3,685.0,Southern Metropolitan,5454,1875000,Nearby,13
7550,Hampton East,2,u,Buxton,2017-02-11,14.5,3188.0,1,1,1,50.0,Southern Metropolitan,2356,475000,Nearby,5
7551,Heidelberg Heights,3,t,Nelson,2017-02-11,10.5,3081.0,3,2,2,250.0,Eastern Metropolitan,2947,706750,Nearby,10
7552,Heidelberg Heights,2,h,Barry,2017-02-11,10.5,3081.0,3,1,1,693.5,Eastern Metropolitan,2947,785000,Nearby,7
7553,Heidelberg West,3,h,Barry,2017-02-11,9.4,3081.0,3,1,0,649.0,Eastern Metropolitan,2674,808000,Nearby,7
7554,Heidelberg West,3,h,Barry,2017-02-11,9.4,3081.0,3,1,0,589.0,Eastern Metropolitan,2674,652000,Nearby,7
7555,Ivanhoe,3,h,Ray,2017-02-11,7.9,3079.0,3,1,1,687.0,Eastern Metropolitan,5549,1220000,Nearby,8
7556,Keilor East,3,h,Moonee,2017-02-11,12.8,3033.0,3,1,1,564.0,Western Metropolitan,5629,695000,Nearby,8
7557,Kensington,2,u,Pagan,2017-02-11,4.2,3031.0,2,1,1,3957.0,Northern Metropolitan,5263,515000,Nearby,6
7558,Kensington,2,t,Edward,2017-02-11,4.2,3031.0,2,1,1,145.0,Northern Metropolitan,5263,781000,Nearby,6
7559,Kew,3,h,Caine,2017-02-11,5.6,3101.0,3,2,2,289.0,Southern Metropolitan,10331,1668000,Nearby,10
7560,Maidstone,2,u,Biggin,2017-02-11,9.2,3012.0,2,1,1,50.0,Western Metropolitan,3873,335000,Nearby,6
7561,Malvern East,2,u,Fletchers/Fletchers,2017-02-11,11.2,3145.0,1,1,1,50.0,Southern Metropolitan,8801,735000,Nearby,5
7562,Maribyrnong,3,t,Greg,2017-02-11,8.7,3032.0,3,2,2,225.0,Western Metropolitan,4918,1011000,Nearby,10
7563,Moonee Ponds,2,h,Nelson,2017-02-11,6.9,3039.0,2,1,1,301.0,Western Metropolitan,6232,860000,Nearby,6
7564,Moonee Ponds,3,h,Jellis,2017-02-11,6.9,3039.0,3,2,1,253.0,Western Metropolitan,6232,1260000,Nearby,9
7565,Moorabbin,4,h,Buxton,2017-02-11,14.6,3189.0,4,3,2,272.0,Southern Metropolitan,2555,1016000,Nearby,13
7566,Newport,2,h,Greg,2017-02-11,8.4,3015.0,2,1,1,264.0,Western Metropolitan,5498,910000,Nearby,6
7567,Newport,2,h,RT,2017-02-11,8.4,3015.0,3,1,1,537.0,Western Metropolitan,5498,780000,Nearby,7
7568,Niddrie,3,t,Nelson,2017-02-11,11.2,3042.0,2,1,1,200.0,Western Metropolitan,2291,676000,Nearby,7
7569,Niddrie,3,h,Brad,2017-02-11,11.2,3042.0,3,1,1,716.0,Western Metropolitan,2291,991000,Nearby,8
7570,Niddrie,2,t,Barry,2017-02-11,11.2,3042.0,2,1,1,200.0,Western Metropolitan,2291,610000,Nearby,6
7571,North Melbourne,3,t,Jellis,2017-02-11,2.3,3051.0,3,2,2,67.0,Northern Metropolitan,6821,1300000,Nearby,10
7572,Northcote,3,h,Nelson,2017-02-11,5.5,3070.0,3,2,1,379.0,Northern Metropolitan,11364,1300000,Nearby,9
7573,Oak Park,3,t,Brad,2017-02-11,11.5,3046.0,3,2,2,272.0,Northern Metropolitan,2651,770000,Nearby,10
7574,Oakleigh South,5,h,Ray,2017-02-11,14.7,3167.0,5,2,2,558.0,South-Eastern Metropolitan,3692,900000,Nearby,14
7575,Parkville,2,u,Jellis,2017-02-11,2.6,3052.0,1,1,1,50.0,Northern Metropolitan,2309,500000,Nearby,5
7576,Parkville,1,u,Woodards,2017-02-11,2.6,3052.0,1,1,1,2469.0,Northern Metropolitan,2309,395000,Nearby,4
7577,Pascoe Vale,2,t,Eview,2017-02-11,9.9,3044.0,2,1,1,145.0,Northern Metropolitan,7485,476450,Nearby,6
7578,Pascoe Vale,3,h,Brad,2017-02-11,9.9,3044.0,3,1,1,470.0,Northern Metropolitan,7485,810000,Nearby,8
7579,Reservoir,2,h,Nelson,2017-02-11,11.2,3073.0,2,1,2,229.0,Northern Metropolitan,21650,555000,Nearby,7
7580,Reservoir,2,t,Nelson,2017-02-11,11.2,3073.0,2,1,1,50.0,Northern Metropolitan,21650,350000,Nearby,6
7581,Reservoir,3,h,Ray,2017-02-11,11.2,3073.0,3,2,2,215.0,Northern Metropolitan,21650,540000,Nearby,10
7582,Richmond,2,u,Biggin,2017-02-11,2.6,3121.0,1,1,1,50.0,Northern Metropolitan,14949,600000,Nearby,5
7583,Richmond,2,u,Biggin,2017-02-11,2.6,3121.0,2,1,1,50.0,Northern Metropolitan,14949,450000,Nearby,6
7584,Rosanna,3,h,Barry,2017-02-11,11.4,3084.0,3,1,2,627.0,Eastern Metropolitan,3540,780000,Nearby,9
7585,South Melbourne,2,h,Cayzer,2017-02-11,2.1,3205.0,2,1,0,115.0,Southern Metropolitan,5943,930000,Nearby,5
7586,South Yarra,1,u,hockingstuart,2017-02-11,3.3,3141.0,1,1,0,50.0,Southern Metropolitan,14887,450000,Nearby,3
7587,South Yarra,1,u,hockingstuart,2017-02-11,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,407000,Nearby,4
7588,Southbank,1,u,Greg,2017-02-11,1.2,3006.0,1,1,0,760.0,Southern Metropolitan,8400,455000,Nearby,3
7589,St Kilda,1,u,Buxton,2017-02-11,6.1,3182.0,1,1,1,50.0,Southern Metropolitan,13240,475000,Nearby,4
7590,St Kilda,2,u,Buxton,2017-02-11,6.1,3182.0,2,1,1,50.0,Southern Metropolitan,13240,390000,Nearby,6
7591,St Kilda,1,u,Buxton,2017-02-11,6.1,3182.0,1,1,1,50.0,Southern Metropolitan,13240,500000,Nearby,4
7592,St Kilda,2,u,Wilson,2017-02-11,6.1,3182.0,1,1,1,50.0,Southern Metropolitan,13240,730000,Nearby,5
7593,Strathmore,4,h,Considine,2017-02-11,9.7,3041.0,4,2,3,50.0,Western Metropolitan,3284,1635000,Nearby,13
7594,Strathmore,3,h,Nelson,2017-02-11,9.7,3041.0,3,1,2,650.0,Western Metropolitan,3284,1194000,Nearby,9
7595,Surrey Hills,3,u,Fletchers,2017-02-11,11.2,3127.0,3,1,2,217.0,Southern Metropolitan,5457,880000,Nearby,9
7596,Templestowe Lower,2,t,Philip,2017-02-11,13.8,3107.0,3,1,1,236.0,Eastern Metropolitan,5420,692000,Nearby,7
7597,Thornbury,3,h,Nelson,2017-02-11,6.5,3071.0,3,1,3,705.0,Northern Metropolitan,8870,1430000,Nearby,10
7598,Thornbury,2,u,Nelson,2017-02-11,6.5,3071.0,2,1,1,724.0,Northern Metropolitan,8870,525500,Nearby,6
7599,Windsor,1,u,Marshall,2017-02-11,5.1,3181.0,1,1,1,50.0,Southern Metropolitan,4380,452000,Nearby,4
7600,Yallambie,3,h,Barry,2017-02-11,15.0,3085.0,3,2,1,536.0,Northern Metropolitan,1369,753000,Moderately Close,9
7601,Yarraville,3,h,Jas,2017-02-11,7.0,3013.0,3,1,2,289.0,Western Metropolitan,6543,1035000,Nearby,9
7602,Yarraville,1,u,hockingstuart,2017-02-11,7.0,3013.0,1,1,2,50.0,Western Metropolitan,6543,510000,Nearby,5
7603,Yarraville,2,u,Jas,2017-02-11,7.0,3013.0,2,1,1,50.0,Western Metropolitan,6543,381000,Nearby,6
7604,Aberfeldie,3,u,Nelson,2017-02-11,9.1,3040.0,3,2,1,309.0,Western Metropolitan,1543,1160000,Nearby,9
7605,Aberfeldie,4,h,Nelson,2017-02-11,9.1,3040.0,4,2,2,578.0,Western Metropolitan,1543,1150000,Nearby,12
7606,Brunswick East,2,u,Nelson,2017-02-11,4.5,3057.0,2,1,2,1188.0,Northern Metropolitan,5533,570000,Nearby,7
7607,Kingsbury,5,h,Ray,2017-02-11,12.4,3083.0,5,2,2,544.0,Northern Metropolitan,1414,1000000,Nearby,14
7608,West Footscray,1,u,Sweeney,2017-02-11,8.2,3012.0,1,1,1,50.0,Western Metropolitan,5058,241000,Nearby,4
7609,West Footscray,3,h,Biggin,2017-02-11,8.2,3012.0,3,1,1,412.0,Western Metropolitan,5058,910000,Nearby,8
7610,Albion,2,t,FN,2017-02-11,13.9,3020.0,2,1,1,74.0,Western Metropolitan,2185,300000,Nearby,6
7611,Brooklyn,2,t,hockingstuart,2017-02-11,10.9,3012.0,2,1,1,200.0,Western Metropolitan,962,525000,Nearby,6
7612,Brooklyn,2,t,hockingstuart,2017-02-11,10.9,3012.0,2,1,1,200.0,Western Metropolitan,962,465000,Nearby,6
7613,Oakleigh,3,h,Ray,2017-02-11,14.0,3166.0,3,1,2,602.0,Southern Metropolitan,3224,1045000,Nearby,9
7614,Keilor Park,4,h,Barry,2017-02-11,14.5,3042.0,4,2,1,697.0,Western Metropolitan,1119,843000,Nearby,11
7615,Gardenvale,3,h,Nick,2017-02-11,9.8,3185.0,3,2,2,236.0,Southern Metropolitan,534,1250000,Nearby,10
7616,Altona,3,h,Williams,2017-03-11,13.8,3018.0,3,1,1,537.0,Western Metropolitan,5301,766000,Nearby,8
7617,Altona North,2,t,Williams,2017-03-11,11.1,3025.0,2,1,1,252.0,Western Metropolitan,5132,640000,Nearby,6
7618,Ascot Vale,2,h,Woodards,2017-03-11,5.9,3032.0,2,1,0,255.0,Western Metropolitan,6567,955000,Nearby,5
7619,Balwyn,5,h,hockingstuart,2017-03-11,9.7,3103.0,3,1,1,593.0,Southern Metropolitan,5682,3350000,Nearby,10
7620,Balwyn North,4,h,Marshall,2017-03-11,9.2,3104.0,4,3,2,689.0,Southern Metropolitan,7809,1670000,Nearby,13
7621,Bentleigh East,4,t,hockingstuart/Buxton,2017-03-11,13.9,3165.0,3,2,1,267.0,Southern Metropolitan,10969,1235000,Nearby,10
7622,Braybrook,3,h,Barry,2017-03-11,10.8,3019.0,3,2,2,544.0,Western Metropolitan,3589,730000,Nearby,10
7623,Brunswick,2,h,Nelson,2017-03-11,5.2,3056.0,2,1,2,301.0,Northern Metropolitan,11918,1094000,Nearby,7
7624,Brunswick,3,h,Barry,2017-03-11,5.2,3056.0,3,1,1,438.0,Northern Metropolitan,11918,1135000,Nearby,8
7625,Bulleen,4,h,Barry,2017-03-11,11.8,3105.0,4,1,2,732.0,Eastern Metropolitan,4480,1280000,Nearby,11
7626,Burwood,2,u,Buxton,2017-03-11,11.7,3125.0,2,1,1,194.0,Southern Metropolitan,5678,650000,Nearby,6
7627,Carlton North,4,h,Ray,2017-03-11,3.2,3054.0,4,2,0,538.0,Northern Metropolitan,3106,2718000,Nearby,10
7628,Carlton North,1,u,Nelson,2017-03-11,3.2,3054.0,1,1,1,861.0,Northern Metropolitan,3106,468000,Nearby,4
7629,Carnegie,3,h,Ray,2017-03-11,11.4,3163.0,3,2,2,721.0,Southern Metropolitan,7822,1646000,Nearby,10
7630,Coburg North,3,h,Barry,2017-03-11,9.2,3058.0,3,1,3,576.0,Northern Metropolitan,3445,782000,Nearby,10
7631,Doncaster,3,h,Barry,2017-03-11,13.9,3108.0,3,1,2,657.0,Eastern Metropolitan,9028,1300000,Nearby,9
7632,Elwood,2,u,hockingstuart,2017-03-11,7.7,3184.0,2,1,1,50.0,Southern Metropolitan,8989,510000,Nearby,6
7633,Essendon,3,h,Frank,2017-03-11,8.0,3040.0,3,1,1,503.0,Western Metropolitan,9264,1240000,Nearby,8
7634,Fitzroy North,5,h,Nelson,2017-03-11,3.5,3068.0,5,2,3,818.0,Northern Metropolitan,6244,2875000,Nearby,15
7635,Glenroy,5,h,Stockdale,2017-03-11,13.0,3046.0,5,4,4,695.0,Northern Metropolitan,8870,810000,Nearby,18
7636,Glenroy,3,t,Melbourne,2017-03-11,13.0,3046.0,2,1,1,145.0,Northern Metropolitan,8870,580000,Nearby,7
7637,Hawthorn,1,u,Collins,2017-03-11,4.6,3122.0,1,1,1,50.0,Southern Metropolitan,11308,450000,Nearby,4
7638,Keilor East,3,h,Nelson,2017-03-11,12.8,3033.0,3,1,2,610.0,Western Metropolitan,5629,915000,Nearby,9
7639,Kensington,3,u,Hodges,2017-03-11,4.2,3031.0,3,1,2,50.0,Northern Metropolitan,5263,570000,Nearby,9
7640,Kew,4,h,Marshall,2017-03-11,5.6,3101.0,4,2,0,364.0,Southern Metropolitan,10331,2315000,Nearby,10
7641,Maribyrnong,3,h,hockingstuart,2017-03-11,8.7,3032.0,3,1,1,537.0,Western Metropolitan,4918,840000,Nearby,8
7642,Northcote,2,t,Ray,2017-03-11,5.5,3070.0,2,1,1,145.0,Northern Metropolitan,11364,680000,Nearby,6
7643,Oakleigh South,3,h,Woodards,2017-03-11,14.7,3167.0,3,2,2,50.0,South-Eastern Metropolitan,3692,782000,Nearby,10
7644,Pascoe Vale,2,h,Brad,2017-03-11,9.9,3044.0,2,1,2,650.0,Northern Metropolitan,7485,920000,Nearby,7
7645,Preston,3,h,Nelson,2017-03-11,8.8,3072.0,3,1,1,482.0,Northern Metropolitan,14577,860000,Nearby,8
7646,Preston,3,h,hockingstuart,2017-03-11,8.8,3072.0,3,2,2,475.0,Northern Metropolitan,14577,990000,Nearby,10
7647,Preston,2,u,Nelson,2017-03-11,8.8,3072.0,2,1,1,145.0,Northern Metropolitan,14577,512000,Nearby,6
7648,Reservoir,3,t,RW,2017-03-11,11.2,3073.0,3,2,1,230.0,Northern Metropolitan,21650,678000,Nearby,9
7649,Southbank,2,u,MICM,2017-03-11,1.2,3006.0,2,2,1,3878.0,Southern Metropolitan,8400,569000,Nearby,7
7650,Sunshine North,3,h,Purplebricks,2017-03-11,13.3,3020.0,3,1,2,568.0,Western Metropolitan,4217,790000,Nearby,9
7651,Sunshine North,4,h,Douglas,2017-03-11,13.3,3020.0,3,1,1,537.0,Western Metropolitan,4217,625000,Nearby,9
7652,Sunshine West,3,h,Barry,2017-03-11,13.5,3020.0,3,1,1,537.0,Western Metropolitan,6763,550000,Nearby,8
7653,Sunshine West,4,h,Barry,2017-03-11,13.5,3020.0,4,1,4,520.0,Western Metropolitan,6763,601000,Nearby,13
7654,Templestowe Lower,5,h,Barry,2017-03-11,13.8,3107.0,5,2,2,666.0,Eastern Metropolitan,5420,1710000,Nearby,14
7655,Toorak,3,h,RT,2017-03-11,4.6,3142.0,3,1,1,593.0,Southern Metropolitan,7217,3850000,Nearby,8
7656,Toorak,3,h,Marshall,2017-03-11,4.6,3142.0,3,2,4,1317.0,Southern Metropolitan,7217,2840000,Nearby,12
7657,Williamstown,4,h,Village,2017-03-11,8.0,3016.0,4,3,2,321.0,Western Metropolitan,6380,1900000,Nearby,13
7658,Williamstown North,2,u,Williams,2017-03-11,8.9,3016.0,2,1,1,50.0,Western Metropolitan,802,460000,Nearby,6
7659,Brunswick East,4,h,Jellis,2017-03-11,4.5,3057.0,4,2,2,468.0,Northern Metropolitan,5533,1290000,Nearby,12
7660,Fawkner,4,h,Brad,2017-03-11,12.4,3060.0,4,2,2,567.0,Northern Metropolitan,5070,635000,Nearby,12
7661,Hawthorn East,4,h,Kay,2017-03-11,7.5,3123.0,4,3,1,710.0,Southern Metropolitan,6482,3050000,Nearby,12
7662,Heidelberg,2,u,Nelson,2017-03-11,10.6,3084.0,2,1,2,4497.0,Eastern Metropolitan,2890,579000,Nearby,7
7663,Kingsbury,2,h,Ray,2017-03-11,12.4,3083.0,2,1,0,640.0,Northern Metropolitan,1414,731000,Nearby,5
7664,Abbotsford,2,h,Jellis,2017-11-11,3.0,3067.0,2,1,1,113.0,Northern Metropolitan,4019,1300000,Nearby,6
7665,Abbotsford,2,u,Biggin,2017-11-11,3.0,3067.0,1,1,1,50.0,Northern Metropolitan,4019,505000,Nearby,5
7666,Abbotsford,3,u,Biggin,2017-11-11,3.0,3067.0,1,1,1,50.0,Northern Metropolitan,4019,940000,Nearby,6
7667,Aberfeldie,3,t,Barry,2017-11-11,7.5,3040.0,3,2,1,224.0,Western Metropolitan,1543,1150000,Nearby,9
7668,Albanvale,4,h,Barry,2017-11-11,14.0,3021.0,4,1,2,546.0,Western Metropolitan,1899,560000,Nearby,11
7669,Albert Park,4,h,Greg,2017-11-11,3.0,3206.0,4,3,1,177.0,Southern Metropolitan,3280,2200000,Nearby,12
7670,Albert Park,6,h,Marshall,2017-11-11,3.0,3206.0,6,3,2,156.0,Southern Metropolitan,3280,3000000,Nearby,17
7671,Albert Park,2,t,Cayzer,2017-11-11,3.0,3206.0,3,2,1,267.0,Southern Metropolitan,3280,1250000,Nearby,8
7672,Albion,3,h,Bells,2017-11-11,10.5,3020.0,3,1,2,578.0,Western Metropolitan,2185,635000,Nearby,9
7673,Albion,2,t,Jas,2017-11-11,10.5,3020.0,2,1,1,200.0,Western Metropolitan,2185,375790,Nearby,6
7674,Altona,3,h,Raine,2017-11-11,11.0,3018.0,3,1,2,537.0,Western Metropolitan,5301,1050000,Nearby,9
7675,Altona Meadows,5,h,Biggin,2017-11-11,15.5,3028.0,5,2,4,530.0,Western Metropolitan,7630,670000,Moderately Close,16
7676,Altona North,3,h,RT,2017-11-11,9.4,3025.0,3,1,1,537.0,Western Metropolitan,5132,760000,Nearby,8
7677,Altona North,3,h,FN,2017-11-11,9.4,3025.0,3,1,3,535.0,Western Metropolitan,5132,840000,Nearby,10
7678,Altona North,4,h,Hunter,2017-11-11,9.4,3025.0,4,3,1,537.0,Western Metropolitan,5132,940000,Nearby,12
7679,Altona North,3,t,Jas,2017-11-11,9.4,3025.0,2,1,1,200.0,Western Metropolitan,5132,755000,Nearby,7
7680,Altona North,2,h,Greg,2017-11-11,9.4,3025.0,2,1,1,702.0,Western Metropolitan,5132,1025000,Nearby,6
7681,Ardeer,3,h,hockingstuart,2017-11-11,12.8,3022.0,3,1,3,537.0,Western Metropolitan,1281,615000,Nearby,10
